plan,scenario,direction,condition,quality,entry,stop,target,first_target,risk_points,target_R,first_target_R,stop_correct_side,target_correct_side,off_tick_trade_price,target_in_chain_half_tick,confirm_rule,confirm_side,confirm2_rule,confirm2_side,arm_legs,trigger,invalidation
2026-08-31:NY:v4,S2,long,reclaim,B,,,,29459.08,,,,,,,,1x5m_close,above,,,0,"After S1 or a simple hold above 29417.00, a 5m close prints back above 29432.25 OB(bull)·1h.",5m close back below 29417.00 aborts the reclaim.
2026-08-31:NY:v4,S3,short,reject,B,29459.08,29489.75,29397.5,29432.25,30.669999999998254,2.0078252363875206,0.8747962178025195,True,True,True,True,touch,below,,,0,Price rises into 29459.08 VWAP+1σ; only fade if it touches and reverses below.,5m close above 29489.75 aborts the short.
2026-08-31:NY:v5,S1,long,reject,B,,,,29432.75,,,,,,,,touch,below,,,0,"After 13:30, first touch of 29413.00 SWG-H·5m that holds without a 5m close below 29409.25 VWAP — fade the flush.",5m close below 29409.25 VWAP.
2026-08-31:NY:v5,S2,long,breakout_retest,B,,,,29459.03,,,,,,,,touch,above,,,0,"5m close above 29432.75 SWG-H·5m, then a retest of 29432.75 holds; stop-entry above the retest for continuation.",5m close back below 29417.00 OR-L.
2026-08-31:NY:v5,S3,long,sweep_reclaim,B,29417,29387,29517,29432.75,30,3.3333333333333335,0.525,True,True,False,True,touch,below,1x5m_close,above,2,"Sweep below 29417.00 OR-L toward 29413.00 SWG-H·5m, then a 5m close reclaims above 29417.00.",5m close below 29409.25 VWAP.
2026-08-31:NY:v5,S4,short,sweep_reclaim,B,,,,29517,,,,,,,,touch,above,1x5m_close,below,0,A sweep of 29543.50 ONH into the 29539.38 Supply·1h/29545.00 OB(bull)·4h zone that prints a 5m close back below 29543.50; fade the confirmed sweep-reclaim only.,5m close back above 29545.00 OB(bull)·4h.
2026-08-31:NY:v6,S1,long,breakout_retest,B,,,,29458.38,,,,,,,,1x5m_close,above,,,0,"After 13:30, a 5m close above 29443.25 breaks the range high; buy the first retest of 29443.25 that holds.",A 5m close back below 29432.25 fails the retest.
2026-08-31:NY:v6,S2,long,sweep_reclaim,C,,,,29443.25,,,,,,,,touch,below,1x5m_close,above,0,"After 13:30, sweep 29417.00 OR-L into 29394.75; then a 5m close back above 29417.00 ignites the long.",5m close below 29388.25 fails the reclaim.
2026-08-31:NY:v6,S3,short,reject,B,29458.38,29482.5,29394.75,29443.25,24.11999999999898,2.6380597014926908,0.6272802653400356,True,True,True,True,touch,above,,,0,"After 13:30, first touch of 29458.38 VWAP+1σ triggers the short; structure stop above 29482.50.",5m close above 29482.50 voids the rejection.
2026-08-31:NY:v6,S4,short,sweep_reclaim,C,,,,29458.38,,,,,,,,touch,above,1x5m_close,below,0,"After 13:30, sweep above 29517.00 OR-H toward 29543.50 ONH; then a 5m close back below 29517.00 triggers the liquidity short.",5m close above 29543.50 fails the reclaim.
2026-08-31:NY:v7,S1,long,hold,B,,,,29432.25,,,,,,,,time_hold,above,,,0,Price pulls back to 29422.25 SWG-L·5m and holds above 29422.25 on 1m closes — enter long on the hold.,5m close below 29417.00 OR-L invalidates.
2026-08-31:NY:v7,S2,long,reject,B,29410.98,29363.72,29517,29432.25,47.2599999999984,2.2433347439696156,0.45006347862888607,True,True,True,True,touch,above,,,0,"Touch of 29410.98 VWAP; enter long on first-touch rejection, stop below 29363.72.",5m close below 29363.72 invalidates the fade.
2026-08-31:NY:v7,S3,short,reject,C,,,,29432.25,,,,,,,,touch,below,,,0,First touch of 29445.50 SWG-H·15m; fade short at the touch back into the range.,2x5m close above 29445.50 invalidates the fade.
2026-08-31:ASIA:v1,S0,long,hold,B,,,,,,,,,,,,,,,,0,none,n/a
2026-08-31:ASIA:v2,S0,long,hold,B,,,,,,,,,,,,,,,,0,none,n/a
2026-09-01:LONDON:v1,S0,long,hold,B,,,,,,,,,,,,,,,,0,none,n/a
2026-09-01:LONDON:v2,S1,short,reject,A,29477,29500.21,29418.62,29447.5,23.209999999999127,2.515295131409014,1.2710038776389965,True,True,True,False,touch,below,,,0,Rally retest of 29477.00 fails — sell the touch,5m close above 29500.21 cancels the fade
2026-09-01:LONDON:v2,S2,short,reject,A,,,,29435.75,,,,,,,,touch,below,,,0,Rally retest of 29447.50 fails — sell the touch,5m close back above 29477.00 invalidates the reject
2026-09-01:LONDON:v2,S3,long,sweep_reclaim,B,,,,29477,,,,,,,,1m_mss,above,,,0,Wick below 29435.75 then 1m reclaim above it,5m close below 29432.25 kills the long
2026-09-01:LONDON:v3,S1,short,acceptance,B,,,,29212.5,,,,,,,,time_hold,below,,,0,"After the 9.4×ATR5m drop, price holds below 29231.63 VWAP−2σ—acceptance continuation short toward ONL",5m close back above 29231.63
2026-09-01:LONDON:v3,S2,short,reject,B,29246.75,29273,29182,29212.5,26.25,2.466666666666667,1.3047619047619048,True,True,False,True,touch,below,,,0,"If the drop retraces, first touch of 29246.75 SWG-L·5m rejects; short back toward 29212.50 then ONL 29182.00",5m close above 29280.00
2026-09-01:LONDON:v4,S1,short,reject,C,29182,29212.5,29154.38,29154.38,30.5,0.9055737704917699,0.9055737704917699,True,True,True,True,touch,below,,,0,Pullback stalls at 29182.00 ONL and rejects; short the touch,5m close back above 29182.00
2026-09-01:LONDON:v4,S2,long,sweep_reclaim,B,29212.5,29170,29323.92,29280,42.5,2.621647058823488,1.588235294117647,True,True,True,True,1x5m_close,above,,,0,Sweep-reclaim of ONL is intact and price reclaims 29212.50 Demand·1h after holding 29201.25 SWG-L·5m,5m close below 29182.00
2026-09-01:LONDON:v4,S3,short,reject,B,29354,29385,29280,29280,31,2.3870967741935485,2.3870967741935485,True,True,False,True,touch,below,,,0,Pullback stalls at 29354.00 RTH-L/PDL and rejects; short the touch,5m close above 29354.00
2026-09-01:LONDON:v5,S1,short,breakdown_continue,B,,,,29161.96,,,,,,,,1x5m_close,below,,,0,"1x5m close below 29177.50 ONL with displacement, no 1m MSS back above 29182.00.",5m close back above 29182.00 cancels the breakdown.
2026-09-01:LONDON:v5,S2,long,sweep_reclaim,B,,,,29212.5,,,,,,,,touch,below,1m_mss,above,0,Sweep of 29177.50 ONL followed by a 1m MSS back above 29182.00 (1x5m close above 29182.00 accepted).,5m close below 29161.96 invalidates the sweep-reclaim.
2026-09-01:LONDON:v5,S3,long,reject,B,29161.96,29140,29212.5,29177.5,21.959999999999127,2.301457194899949,0.7076502732241116,True,True,True,True,touch,below,,,0,"First touch of 29161.96 VWAP−2σ; expect a rejection body, do not chase below it.",5m close below 29140.00 invalidates the fade.
2026-09-01:LONDON:v6,S1,short,reject,B,29123.25,29147.25,29085,29100.81,24.0,1.59375,0.9349999999999454,True,True,False,True,touch,below,,,0,Price retests ONL 29123.25 and rejects with a 5m close below it; one-sided delivery continues,5m close back above 29123.25
2026-09-01:LONDON:v6,S2,short,reject,B,29138,29162,29085,29123.25,24,2.2083333333333335,0.6145833333333334,True,True,False,True,touch,below,,,0,Rally into 29138.00 SWG-L·5m and stall/reject with 5m close below it,5m close above 29138.00
2026-09-01:NY:v1,S1,short,breakdown_continue,C,,,,29099.12,,,,,,,,1x5m_close,below,,,0,5m close below 29122.75 ONL with displacement >= 1.0x ATR5m (20.2) fires immediate continuation short.,Any 5m close back above 29138.00 SWG-L·5m cancels the breakdown.
2026-09-01:NY:v1,S2,short,reject,B,29138,29158.5,29085,29122.75,20.5,2.5853658536585367,0.7439024390243902,True,True,False,True,touch,below,,,0,Touch of 29138.00 SWG-L·5m from below with rejection; short fade.,5m close above 29158.50 invalidates the fade.
2026-09-01:NY:v1,S3,short,reject,B,29177.5,29198,29122.75,29138,20.5,2.6707317073170733,1.9268292682926829,True,True,False,True,touch,below,,,0,Touch of 29177.50 SWG-L·5m from below that stalls/rejects rallies; short fade.,5m close above 29198.00 cancels the fade.
2026-09-01:NY:v1,S4,long,sweep_reclaim,C,,,,29138,,,,,,,,touch,below,1m_mss,above,0,"Sweep of 29122.75 ONL into 29099.12 Demand·4h, then 1m_mss back above 29122.75; long reversion.",5m close below 29094.31 VWAP−2σ invalidates.
2026-09-01:NY:v2,S1,short,reject,B,29062.75,29095.5,28970.38,28970.38,32.75,2.8204580152671443,2.8204580152671443,True,True,True,True,touch,below,,,0,Post-news or current tape: breakdown is void after the 5m close back above 29062.75 OR-L; a weak rally into 29062.75 from below stalls — touch of 29062.75 is the short reject leg.,2x5m close back above 29095.50 EQL·4h voids the reject.
2026-09-01:NY:v2,S2,short,reject,B,29137.29,29170.5,29062.75,29062.75,33.20999999999913,2.24450466726898,2.24450466726898,True,True,True,True,touch,below,,,0,Weak rally into 29125.00 OR-H / 29137.29 VWAP−1σ stalls; touch of 29137.29 is the short reject leg.,5m close above 29170.50 invalidates the reject.
2026-09-01:NY:v2,S3,long,sweep_reclaim,B,,,,29082.75,,,,,,,,touch,below,1x5m_close,above,0,OR-L sweep has already printed (low 29040); a 5m close back above 29062.75 converts it to a discount sweep-reclaim long.,5m close below 29030.00 voids the reclaim.
2026-09-01:NY:v2,S4,long,reclaim,C,,,,29125,,,,,,,,1x5m_close,above,,,0,If ISM resolves strong: 5m close above 29095.50 EQL·4h reclaims the broken shelf and flips intraday path long.,5m close below 29062.75 OR-L voids the reclaim.
2026-09-01:NY:v3,S1,short,reject,B,29182,29220.75,29085,29157.75,38.75,2.503225806451613,0.6258064516129033,True,True,False,True,touch,below,,,0,Price rallies into 29182.00 SWG-L·15m; fade the first touch with a structure stop above 29220.75.,1x5m close above 29182.00 rejects the fade.
2026-09-01:NY:v3,S2,short,reject,B,29085,29125,29062.75,29062.75,40,0.55625,0.55625,True,True,False,True,touch,below,,,0,Price rallies into 29085.00 OB(bull)·1h; fade the first touch with a structure stop above.,1x5m close above 29085.00 rejects the fade.
2026-09-01:NY:v4,S1,short,reject,B,29170,29210,29082.75,29125,40,2.18125,1.125,True,True,False,True,touch,below,,,0,Touch-and-reject from below at 29170.00 EQL·15m after a 5m close back above the level voided the breakdown,5m close back above 29209.25
2026-09-01:NY:v4,S2,short,reject,C,,,,29170,,,,,,,,touch,below,,,0,Touch of 29209.25 Supply·1h and rejection from the 29212.50 OB(bull)·1h cluster,5m close above 29266.78 eVWAP
2026-09-01:NY:v4,S3,long,sweep_reclaim,B,,,,29170,,,,,,,,1m_mss,above,,,0,Sweep of 29082.75 ONL followed by a 1m MSS back above 29082.75,5m close below 29040.00 SWG-L·5m
2026-09-01:NY:v5,S1,short,reject,B,29100.5,29130,29082.75,29082.75,29.5,0.6016949152542372,0.6016949152542372,True,True,False,True,touch,below,,,0,first touch of 29100.50 after the failed breakdown,5m close back above 29130.00
2026-09-01:NY:v5,S2,short,reject,B,29162,29189,29100.5,29100.5,27,2.2777777777777777,2.2777777777777777,True,True,False,True,touch,below,,,0,first touch of 29162.00 after lunch,5m close above 29197.50
2026-09-01:NY:v5,S3,long,sweep_reclaim,B,29082.75,29055.75,29162,29130,27.0,2.935185185185185,1.75,True,True,False,True,touch,below,1x5m_close,above,0,sweep of 29082.75 ONL and 5m close back above 29082.75,5m close below 29040.00
2026-09-01:ASIA:v1,S0,long,hold,B,,,,,,,,,,,,,,,,0,none,n/a
2026-09-01:ASIA:v2,S0,long,hold,B,,,,,,,,,,,,,,,,0,none,n/a
2026-09-01:ASIA:v3,S0,long,hold,B,,,,,,,,,,,,,,,,0,none,n/a
2026-09-01:ASIA:v4,S0,long,hold,B,,,,,,,,,,,,,,,,0,none,n/a
2026-09-01:ASIA:v5,S1,long,sweep_reclaim,B,,,,29062.75,,,,,,,,touch,below,1x5m_close,above,0,"re-test sweep of 29042.25 ONL, then 1x5m close back above 29045.00",1x5m close below 29042.25 ONL after entry
2026-09-01:ASIA:v5,S2,long,breakout_retest,C,,,,29072.75,,,,,,,,touch,above,,,0,"breakout above 29062.75 OR-L, then retest holds at 29062.75; stop-entry above 29065.00",1x5m close back below 29042.25 ONL
2026-09-01:ASIA:v6,S1,long,sweep_reclaim,A,29035.25,29018,29071.41,29071.41,17.25,2.096231884057963,2.096231884057963,True,True,True,True,touch,below,1m_mss,above,2,"Sweep of ONL 29035.25 (trade through overnight-low stops), then a reclaim: 1m MSS up or a 5m close back above 29035.25.","5m close below 29035.25 with no 1m MSS back above — the sweep held, long void."
2026-09-01:ASIA:v6,S2,long,reject,B,29040.61,29020,29113.23,29071.41,20.610000000000582,3.5235322658901955,1.4944201843764386,True,True,True,True,touch,below,,,0,"First-touch reaction at VWAP−2σ 29040.61: price dips to the react zone and rejects upward with no 5m acceptance, mean-reverting toward the magnets.",5m close below 29040.61 — acceptance of the zone voids the fade; wait for S1 instead.
2026-09-01:ASIA:v6,S3,long,reclaim,B,,,,29113.23,,,,,,,,1x5m_close,above,,,0,"Reclaim of the lost VWAP−1σ 29071.41: price 5m-closes back above the magnet after a bounce off ONL/VWAP−2σ, turning it to support.",5m close back below 29071.41 after the reclaim — failed reclaim.
2026-09-01:ASIA:v7,S1,long,reject,A,29044,29025,29099.85,29068.05,19,2.9394736842104496,1.2657894736841722,True,True,True,True,touch,below,,,0,Price touches 29044.00 (SWG-L·15m) and rejects upward,5m close below 29029.88 invalidates the bounce
2026-09-01:ASIA:v7,S2,long,reclaim,C,,,,29068.05,,,,,,,,1x5m_close,above,,,0,Price reclaims 29062.75 (OR-L) with a 5m close above,5m close below 29044.00 invalidates the reclaim
2026-09-01:ASIA:v7,S3,long,reject,B,29068.05,29044,29131.66,29099.85,24.049999999999272,2.644906444906549,1.322245322245332,True,True,True,False,touch,below,,,0,Price touches 29068.05 (VWAP−1σ) and rejects upward,5m close below 29062.75 invalidates the rejection
2026-09-01:ASIA:v8,S1,long,sweep_reclaim,B,,,,29058.75,,,,,,,,touch,below,1x5m_close,above,0,Sweep of ONL 29035.25 followed by a 5m close back above 29035.25; entry on that reclaim close.,"A 5m close below 29035.25 before the reclaim close is a breakdown, not a sweep; S1 void."
2026-09-01:ASIA:v8,S2,long,reclaim,B,,,,29065.3,,,,,,,,1x5m_close,above,,,0,"After a dip back under PDC 29058.75, a 5m close back above 29058.75; entry on that close.",A 5m close back below 29035.25 before reaching VWAP−1σ 29065.30 voids S2.
2026-09-01:ASIA:v8,S3,long,breakout_retest,B,,,,29113.23,,,,,,,,touch,above,,,0,A 5m close above VWAP 29097.88 followed by a retest of 29097.88 that holds; entry at the retest or stop-entry.,A 5m close back below the 1h bull OB 29085.00 voids S3.
2026-09-01:ASIA:v9,S1,long,sweep_reclaim,B,,,,29058.75,,,,,,,,touch,below,1x5m_close,above,0,"Price sweeps ONL 29035.25 with a wick below, then closes back above it",5m close below 29001.75 PDL
2026-09-01:ASIA:v9,S2,long,reclaim,B,,,,29096.67,,,,,,,,1x5m_close,above,,,0,Pullback to PDC 29058.75 and 5m close back above it,5m close below 29035.25 ONL
2026-09-02:LONDON:v1,S0,long,hold,B,,,,,,,,,,,,,,,,0,none,n/a
2026-09-01:ASIA:v10,S1,long,sweep_reclaim,B,,,,29058.75,,,,,,,,touch,below,1m_mss,above,0,"Price sweeps 29016.50 ONL, wicks below, then closes back above on 5m (reclaim close on decision TF).",5m close below 28970.38 OB(bull)·4h invalidates the long.
2026-09-01:ASIA:v10,S2,short,reject,B,29317.25,29342,29212.5,29212.5,24.75,4.232323232323233,4.232323232323233,True,True,False,True,touch,above,,,0,Price rallies into 29317.25 RTH-H and rejects with a 5m close back below the level.,2x5m close above 29324.50 OB(bull)·1h invalidates the short.
2026-09-02:LONDON:v2,S1,long,sweep_reclaim,A,,,,29058.75,,,,,,,,touch,below,1x5m_close,above,0,Price trades below 29001.75 PDL (sweep) and then prints a 5m close back above 29001.75 (reclaim).,A 5m close below 28970.38 or failure to print a 5m close above 29001.75 after the sweep voids it.
2026-09-02:LONDON:v2,S2,long,breakout_retest,B,,,,29209.25,,,,,,,,touch,above,,,0,"Price breaks above 29171.25 ONH on the 5m, then pulls back to touch 29171.25 as support.",A 5m close below 29171.25 after the retest voids the breakout.
2026-09-02:LONDON:v2,S3,short,reject,B,29317.25,29345.25,29246.25,29246.25,28.0,2.5357142857142856,2.5357142857142856,True,True,False,True,touch,above,,,0,"Price rallies into 29317.25 RTH-H, wicks above it, and rejects without a 5m close above.",A 5m close above 29317.25 voids the reject; a close above 29324.50 cancels it.
2026-09-02:LONDON:v3,S1,long,hold,B,,,,29171.25,,,,,,,,time_hold,above,,,0,Dips to 29117.48 VWAP+1σ and holds above it; entry on the hold with a 1x5m close above 29117.48 as fallback.,A 5m close below 29117.48 fails the hold and shelves the buy.
2026-09-02:LONDON:v3,S2,long,reclaim,B,,,,29117.48,,,,,,,,1x5m_close,above,,,0,Undercut of 29058.75 PDC followed by a 1x5m close back above 29058.75.,A 5m close below 29001.75 instead of reclaiming cancels this dip-buy and opens the path toward ONL.
2026-09-02:LONDON:v3,S3,long,breakout_retest,B,,,,29209.25,,,,,,,,1x5m_close,above,,,0,Thrust through 29171.25 ONH then pullback to 29171.25; a 1x5m close above 29171.25 validates the break-retest.,A 5m close back below 29117.48 after the retest negates the breakout.
2026-09-02:LONDON:v3,S4,short,reject,B,29317.25,29350,29246.25,29246.25,32.75,2.16793893129771,2.16793893129771,True,True,False,True,touch,below,,,0,"First touch of 29317.25 RTH-H from below; short on the touch, structure stop beyond 29324.50.",A 5m close above 29324.50 negates the rejection.
2026-09-02:LONDON:v3,S5,long,sweep_reclaim,A,,,,29058.75,,,,,,,,touch,below,1m_mss,above,0,Re-test of 28927.25 ONL: a sweep below 28927.25 (touch) then a 5m close back above 28927.25; leg-2 is a 1m_mss above 28927.25.,A 5m close below 28921.50 fails the reclaim and opens continuation toward 28711.25.
2026-09-02:LONDON:v4,S1,long,reclaim,B,,,,29171.25,,,,,,,,1x5m_close,above,,,0,"Pullback to VWAP 29066.56 holds; wick below 29066.56, then 5m close back above 29066.56",5m close below 29001.75
2026-09-02:LONDON:v4,S2,long,sweep_reclaim,B,,,,29066.56,,,,,,,,touch,below,1x5m_close,above,0,"Sweep below ONL 28927.25, then 5m close back above 28927.25",5m close below 28921.50
2026-09-02:LONDON:v4,S3,long,reject,B,29001.75,28927.25,29171.25,29066.56,74.5,2.2751677852348995,0.8699328859060579,True,True,False,True,touch,above,,,0,First touch of RTH-L 29001.75 rejects back up; no 5m close below 29001.75,5m close below 28927.25
2026-09-02:LONDON:v4,S4,long,breakout_retest,B,,,,29209.25,,,,,,,,1x5m_close,above,touch,above,0,5m closes above ONH 29171.25; pullback retests 29171.25,5m close below 29066.56
2026-09-02:LONDON:v4,S5,short,reject,C,,,,29246.25,,,,,,,,touch,below,,,0,First touch of RTH-H 29317.25 rejects back down; no 5m close above 29317.25,5m close above 29317.25
2026-09-02:LONDON:v5,S1,long,reject,A,29014.19,28985.5,29171.25,29058.75,28.68999999999869,5.474381317532536,1.553154409201929,True,True,True,True,touch,above,,,0,Price pulls into VWAP−1σ 29014.19 and leaves a rejection with price holding above it.,A 5m close below 29001.75 invalidates this reversion long.
2026-09-02:LONDON:v5,S2,long,sweep_reclaim,B,,,,29001.75,,,,,,,,touch,below,1m_mss,above,0,Price sweeps ONL 28927.25 and prints a 1m MSS back above it.,A 5m close below 28917.25 voids the sweep-reclaim.
2026-09-02:LONDON:v5,S3,short,reject,B,,,,29171.25,,,,,,,,touch,below,,,0,"Price rallies into RTH-H 29317.25 and rejects, leaving price below it.",A 5m close above 29324.50 invalidates the rejection short.
2026-09-02:NY:v1,S1,long,sweep_reclaim,B,,,,29058.75,,,,,,,,touch,below,1x5m_close,above,0,"price returns to ONL 28927.25, sweeps below it, then prints a 1x5m close back above 28927.25",5m close below 28917.25 after entry
2026-09-02:NY:v1,S2,long,reclaim,B,,,,29171.25,,,,,,,,1x5m_close,above,,,0,1x5m close back above PDC 29058.75 after holding above 29014.14,5m close back below 29014.14
2026-09-02:NY:v1,S3,long,reject,C,,,,29058.75,,,,,,,,touch,above,,,0,price trades down into VWAP−1σ 29014.14 and stalls/rejects before reaching 29001.75,5m close below 29001.75
2026-09-02:NY:v1,S4,short,reject,B,29317.25,29343,29246.25,29246.25,25.75,2.7572815533980584,2.7572815533980584,True,True,False,True,touch,below,,,0,first touch of 29317.25 RTH-H after an up move fails to hold above it,5m close above 29324.50
2026-09-02:LONDON:v6,S1,long,reject,B,,,,29058.75,,,,,,,,touch,above,,,0,Touch of 29014.42 VWAP−1σ with a 5m bullish reject closing back above 29014.42.,5m close below 29001.75 RTH-L invalidates the fade.
2026-09-02:LONDON:v6,S2,long,reject,B,29001.75,28975.75,29058.75,29058.75,26.0,2.1923076923076925,2.1923076923076925,True,True,False,True,touch,above,,,0,Touch of 29001.75 RTH-L with a 5m bullish reject closing back above 29001.75.,5m close below 29001.75 RTH-L invalidates the long.
2026-09-02:LONDON:v6,S3,long,sweep_reclaim,B,,,,29001.75,,,,,,,,touch,below,1x5m_close,above,0,"Sweep below 28927.25 ONL, then a 5m close back above 28927.25.",No 5m close back above 28927.25 after the sweep invalidates the setup.
2026-09-02:LONDON:v6,S4,long,breakout_retest,B,,,,29209.25,,,,,,,,touch,above,,,0,"Break above 29171.25 ONH, then pullback retest holds above 29171.25.",5m close back below 29171.25 ONH invalidates the breakout.
2026-09-02:NY:v2,S1,long,sweep_reclaim,B,,,,29102,,,,,,,,touch,below,1x5m_close,above,0,"Wick below 29042.75 OR-L, then a 5m close back above 29042.75 confirms the sweep-reclaim",5m close below 29001.75 RTH-L
2026-09-02:NY:v2,S2,long,breakout_retest,B,,,,29171.25,,,,,,,,1x5m_close,above,,,0,"5m close above 29115.10 VWAP+1σ, then retest holds above 29115.10",5m close below 29058.75 PDC
2026-09-02:NY:v2,S3,long,reclaim,C,,,,29115.1,,,,,,,,1x5m_close,above,,,0,"Pullback to 29102.00 OR-H, then 5m close back above 29102.00",5m close below 29058.75 PDC
2026-09-02:NY:v3,S1,long,reclaim,B,,,,29171.25,,,,,,,,1x5m_close,above,,,0,Reclaim of VWAP+1σ 29111.58 with a 1x5m close above 29111.58 after the current 09:00 push.,1x5m close back below 29102.00 OR-H voids the reclaim.
2026-09-02:NY:v3,S2,long,sweep_reclaim,B,,,,29058.75,,,,,,,,touch,below,1m_mss,above,0,Sweep of 28927.25 ONL then a 1m_mss back above 28927.25.,1x5m close below 28927.25 ONL aborts the sweep-reclaim.
2026-09-02:NY:v3,S3,long,breakout_retest,B,,,,29209.25,,,,,,,,1x5m_close,above,touch,above,0,"Break above 29171.25 ONH with a 1x5m close, then a pullback retest holds 29171.25.",1x5m close back below 29058.75 PDC voids the breakout.
2026-09-02:NY:v3,S4,short,reject,B,29317.25,29355,29209.25,29246.25,37.75,2.8609271523178808,1.880794701986755,True,True,False,True,touch,above,,,0,First touch of 29317.25 RTH-H in premium above the 29286.38 mid rejects; fade only on the touch.,"1x5m_close above 29355.00 kills the fade, clearing the 29324.50 OB."
2026-09-02:NY:v4,S1,long,reject,B,29135.65,29099,29209.25,29171.25,36.650000000001455,2.0081855388811904,0.9713506139153378,True,True,True,True,touch,above,,,0,Price pulls back to 29135.65 VWAP+1σ and rejects on touch,5m close below 29058.75 PDC invalidates the long bounce
2026-09-02:NY:v4,S2,short,reject,B,29317.25,29354,29209.25,29209.25,36.75,2.938775510204082,2.938775510204082,True,True,False,True,touch,below,,,0,Price rallies to 29317.25 RTH-H and rejects on touch,5m close above 29324.50 OB(bull)·1h (HTF) invalidates the short rejection
2026-09-02:NY:v5,S1,long,reclaim,B,,,,29171.25,,,,,,,,1x5m_close,above,,,0,"Price prints a 5m close back above VWAP+1σ 29143.97, reclaiming the session magnet after this morning's 29106.25 sweep-reclaim; the close confirms the 15m higher-low recovery.",A 5m close below 29106.25 (the 10:00 sweep low) voids the reclaim and re-opens the 29102.00 retest.
2026-09-02:NY:v5,S2,long,reject,C,29102,29060,29209.25,29143.97,42,2.5535714285714284,0.999285714285742,True,True,False,True,touch,above,,,0,Price retraces into the 29102.00 OR-H / 29106.25 sweep-low cluster and the first touch at 29102.00 rejects upward — a re-test of the consumed 15m sweep zone as a new setup.,Acceptance below 29102.00 — a 5m close under 29102.00 — voids the fade; the next edge is the PDC sweep-reclaim (S3).
2026-09-02:NY:v5,S3,long,sweep_reclaim,B,29058.75,29020,29143.97,29143.97,38.75,2.199225806451643,2.199225806451643,True,True,True,True,touch,below,1m_mss,above,2,Price sweeps below PDC 29058.75 (resting stops under the flattened 29017.25–29111.25 shelf) and a 1m MSS back above 29058.75 confirms the reclaim; a 5m close back above 29058.75 is the delayed confirmation alternative.,A 5m close below 29020.00 invalidates the sweep-reclaim and opens the 29001.75 RTH-L test.
2026-09-02:NY:v5,S4,long,breakout_retest,C,,,,29209.25,,,,,,,,1x5m_close,above,touch,above,0,A 5m close above ONH 29171.25 breaks the day's consolidation high; the retest touch at 29171.25 from above is the continuation long entry (stop-entry fallback if no retest prints).,A 5m close back below 29143.97 voids the breakout as a round-trip failure.
2026-09-02:NY:v6,S1,long,reclaim,C,,,,29209.25,,,,,,,,1x5m_close,above,,,0,Retest of 29171.25 ONH holds; 1x5m close back above 29171.25 after a dip.,5m close below 29153.35 VWAP+1σ voids the reclaimed ONH support.
