row,old_label,new_label,code_truth,code_line,guide_fixed,guard_test,status
ai_config.indicators.enable_quant_netflow,,,strategy field (ai_config.indicators.enable_quant_netflow),store/strategy.go:1967,yes (settings.ts indicators block),"labels.test.ts pins (ema 20,50 / rsi 7,14 / atr 14 / boll 20 fixed-2 / svp OFF / raw always-on)",done
ai_config.indicators.enable_quant_oi,,,strategy field (ai_config.indicators.enable_quant_oi),store/strategy.go:1966,yes (settings.ts indicators block),"labels.test.ts pins (ema 20,50 / rsi 7,14 / atr 14 / boll 20 fixed-2 / svp OFF / raw always-on)",done
ai_config.indicators.enable_raw_klines,,,raw price bars on/off,store/strategy.go:1938,yes (settings.ts indicators block),"labels.test.ts pins (ema 20,50 / rsi 7,14 / atr 14 / boll 20 fixed-2 / svp OFF / raw always-on)",done
ai_config.indicators.enable_rsi,,,RSI block on/off (14),store/strategy.go:1942,yes (settings.ts indicators block),"labels.test.ts pins (ema 20,50 / rsi 7,14 / atr 14 / boll 20 fixed-2 / svp OFF / raw always-on)",done
ai_config.indicators.enable_svp,,,session-volume-profile block on/off,store/strategy.go:1948,yes (settings.ts indicators block),"labels.test.ts pins (ema 20,50 / rsi 7,14 / atr 14 / boll 20 fixed-2 / svp OFF / raw always-on)",done
ai_config.indicators.enable_volume,,,volume profile block on/off,store/strategy.go:1945,yes (settings.ts indicators block),"labels.test.ts pins (ema 20,50 / rsi 7,14 / atr 14 / boll 20 fixed-2 / svp OFF / raw always-on)",done
ai_config.indicators.klines.enable_multi_timeframe,,,strategy field (ai_config.indicators.klines.enable_multi_timeframe),store/strategy.go:1996,yes (settings.ts indicators block),,done
ai_config.indicators.klines.primary_count,,,strategy field (ai_config.indicators.klines.primary_count),store/strategy.go:1990,yes (settings.ts indicators block),,done
ai_config.indicators.klines.primary_timeframe,,,primary decision timeframe,store/strategy.go:1988,yes (settings.ts indicators block),,done
ai_config.indicators.klines.selected_timeframes,,,strategy field (ai_config.indicators.klines.selected_timeframes),store/strategy.go:1998,yes (settings.ts indicators block),,done
ai_config.indicators.netflow_ranking_duration,,,strategy field (ai_config.indicators.netflow_ranking_duration),store/strategy.go:1976,yes (settings.ts indicators block),,done
ai_config.indicators.netflow_ranking_limit,,,strategy field (ai_config.indicators.netflow_ranking_limit),store/strategy.go:1977,yes (settings.ts indicators block),,done
ai_config.indicators.nofxos_api_key,,,strategy field (ai_config.indicators.nofxos_api_key),store/strategy.go:1962,yes (settings.ts indicators block),,done
ai_config.indicators.oi_ranking_duration,,,strategy field (ai_config.indicators.oi_ranking_duration),store/strategy.go:1971,yes (settings.ts indicators block),,done
ai_config.indicators.oi_ranking_limit,,,strategy field (ai_config.indicators.oi_ranking_limit),store/strategy.go:1972,yes (settings.ts indicators block),,done
ai_config.indicators.price_ranking_duration,,,strategy field (ai_config.indicators.price_ranking_duration),store/strategy.go:1981,yes (settings.ts indicators block),,done
ai_config.indicators.price_ranking_limit,,,strategy field (ai_config.indicators.price_ranking_limit),store/strategy.go:1982,yes (settings.ts indicators block),,done
ai_config.indicators.rsi_periods,,,strategy field (ai_config.indicators.rsi_periods),store/strategy.go:1952,yes (settings.ts indicators block),,done
ai_config.prompt_sections.decision_process,,,strategy field (ai_config.prompt_sections.decision_process),store/strategy.go:1901,,,open
ai_config.prompt_sections.entry_standards,,,entry standards prompt text,store/strategy.go:1899,,,open
ai_config.prompt_sections.role_definition,,,strategy field (ai_config.prompt_sections.role_definition),store/strategy.go:1895,,,open
ai_config.prompt_sections.trading_frequency,,,"how often the bot should trade (live text claims exits SUSPENDED — stale, see P2-1)",store/strategy.go:1897,,,open
ai_config.risk_control.altcoin_max_leverage,,,strategy field (ai_config.risk_control.altcoin_max_leverage),store/strategy.go:2020,,,open
ai_config.risk_control.altcoin_max_position_value_ratio,,,strategy field (ai_config.risk_control.altcoin_max_position_value_ratio),store/strategy.go:2025,,,open
ai_config.risk_control.blackout_enabled,,,strategy field (ai_config.risk_control.blackout_enabled),store/strategy.go:2097,,,open
ai_config.risk_control.blackout_end_ct,,,strategy field (ai_config.risk_control.blackout_end_ct),store/strategy.go:2099,,,open
ai_config.risk_control.blackout_start_ct,,,strategy field (ai_config.risk_control.blackout_start_ct),store/strategy.go:2098,,,open
ai_config.risk_control.breakeven_enabled,,,breakeven exit on/off (live false; trigger 40 stored),store/strategy.go:2119,,,open
ai_config.risk_control.breakeven_trigger_points,,,breakeven trigger points (stored 40; fires only when enabled),store/strategy.go:2120,,,open
ai_config.risk_control.btc_eth_max_leverage,,,strategy field (ai_config.risk_control.btc_eth_max_leverage),store/strategy.go:2018,,,open
ai_config.risk_control.btc_eth_max_position_value_ratio,,,strategy field (ai_config.risk_control.btc_eth_max_position_value_ratio),store/strategy.go:2023,,,open
ai_config.risk_control.consecutive_loss_halt,,,"W1 (f) 2026-09-23: the old cite auto_trader_orders.go:116 was a nil guard inside consecutiveLossHaltedAt, whic",store/strategy.go:2070,,,open
ai_config.risk_control.consistency_enabled,,,strategy field (ai_config.risk_control.consistency_enabled),store/strategy.go:2106,,,open
ai_config.risk_control.consistency_max_day_pct,,,strategy field (ai_config.risk_control.consistency_max_day_pct),store/strategy.go:2105,,,open
ai_config.risk_control.daily_loss_limit_usd,,,strategy field (ai_config.risk_control.daily_loss_limit_usd),store/strategy.go:2046,,,open
ai_config.risk_control.daily_profit_enabled,,,strategy field (ai_config.risk_control.daily_profit_enabled),store/strategy.go:2052,,,open
ai_config.risk_control.daily_profit_target_usd,,,strategy field (ai_config.risk_control.daily_profit_target_usd),store/strategy.go:2051,,,open
ai_config.risk_control.hold_discipline,,,hold-discipline flag (live true),store/strategy.go:2113,,,open
ai_config.risk_control.max_contracts_per_order,,,futures contract cap per order (live 2),store/strategy.go:2081,,,open
ai_config.risk_control.max_daily_trades,,,strategy field (ai_config.risk_control.max_daily_trades),store/strategy.go:2055,,,open
ai_config.risk_control.max_daily_trades_enabled,,,strategy field (ai_config.risk_control.max_daily_trades_enabled),store/strategy.go:2056,,,open
ai_config.risk_control.max_notional_leverage,,,strategy field (ai_config.risk_control.max_notional_leverage),store/strategy.go:2090,,,open
ai_config.risk_control.reentry_cooldown_minutes,,,strategy field (ai_config.risk_control.reentry_cooldown_minutes),store/strategy.go:2077,,,open
ai_config.risk_control.trailing_arm,,,strategy field (ai_config.risk_control.trailing_arm),store/strategy.go:2131,,,open
ai_config.risk_control.trailing_arm_points,,,strategy field (ai_config.risk_control.trailing_arm_points),store/strategy.go:2132,,,open
ai_config.risk_control.trailing_atr_mult,,,strategy field (ai_config.risk_control.trailing_atr_mult),store/strategy.go:2128,,,open
ai_config.risk_control.trailing_atr_period,,,strategy field (ai_config.risk_control.trailing_atr_period),store/strategy.go:2129,,,open
ai_config.risk_control.trailing_enabled,,,trailing exit on/off (live false),store/strategy.go:2127,,,open
day_plan.condition_status,,,condition status knob,store/strategy.go:1156,,,open
day_plan.entry_policy_default,,,default entry policy (market_in_zone),store/strategy.go:1166,,,open
day_plan.geometry_reference_levels,,,geometry reference levels gate (default ON),store/strategy.go:1144,,,open
day_plan.htf_seats,,,HTF seat count (default 2),store/strategy.go:1022,,,open
day_plan.min_hold_min,,,minimum hold minutes (default 3),store/strategy.go:1184,,,open
day_plan.picture_htf.entry_window_sec,,,submission allowed within N seconds of the new 5m interval (default 360).,store/strategy.go:934,,,open
day_plan.picture_htf.freshness_sec,,,max accepted age of the freshest bar frame at evaluation and send (default 30s).,store/strategy.go:935,,,open
day_plan.picture_htf.min_rr,,,0 = the strategy's configured minimum R:R; the nearest eligible zone is never skipped to fix R:R.,store/strategy.go:936,,,open
day_plan.picture_htf.pivot_window,,,latest N completed 4H candles for body-pivot discovery (default 120).,store/strategy.go:932,,,open
day_plan.picture_htf.swing_lookback,,,preceding N completed 5m candles for the structural swing stop (default 24).,store/strategy.go:933,,,open
day_plan.picture_htf.tick_size,,,one instrument tick (default 0.25 MNQ); the H1 close must cross by at least one tick.,store/strategy.go:931,,,open
day_plan.plan_enabled,,,day-plan master switch (live true),store/strategy.go:968,,,open
day_plan.planner_fresh_tape,,,planner fresh-tape knob (nil=ON; A6),store/strategy.go:1047,,,open
day_plan.planner_model,,,planner model binding,store/strategy.go:971,,,open
day_plan.sessions.condition_status,,,W1 (f) 2026-09-23: the old cite auto_trader_planner.go:1481 is clockHoldDeferLine — not a reader.,store/strategy.go:1213,,,open
day_plan.structural_stop.buffer_points,,,Research buffer beyond frozen zone; missing uncalibrated value refuses.,store/structural_geometry.go:12,,,open
day_plan.write_time_feasibility,,,write-time feasibility gate (default ON),store/strategy.go:1131,,,open
day_plan.zone_max_pts,,,zone max points (default 10),store/strategy.go:1169,,,open
day_plan.zone_place_within_pts,,,zone placement band (default 25),store/strategy.go:1180,,,open
day_plan.zone_rest_max_min,,,zone rest cap minutes (default 30),store/strategy.go:1173,,,open
grid_config.atr_multiplier,,,"GridStrategyConfig comment, store/strategy.go:1860-1890",store/strategy.go:1875,yes (settings.ts grid block),,done
grid_config.daily_loss_limit_pct,,,"GridStrategyConfig comment, store/strategy.go:1860-1890",store/strategy.go:1883,yes (settings.ts grid block),,done
grid_config.direction_bias_ratio,,,"GridStrategyConfig comment, store/strategy.go:1860-1890",store/strategy.go:1889,yes (settings.ts grid block),,done
grid_config.enable_direction_adjust,,,"GridStrategyConfig comment, store/strategy.go:1860-1890",store/strategy.go:1887,yes (settings.ts grid block),,done
grid_config.grid_count,,,"GridStrategyConfig comment, store/strategy.go:1860-1890",store/strategy.go:1863,yes (settings.ts grid block),,done
grid_config.lower_price,,,"GridStrategyConfig comment, store/strategy.go:1860-1890",store/strategy.go:1871,yes (settings.ts grid block),,done
grid_config.max_drawdown_pct,,,"GridStrategyConfig comment, store/strategy.go:1860-1890",store/strategy.go:1879,yes (settings.ts grid block),,done
grid_config.stop_loss_pct,,,"GridStrategyConfig comment, store/strategy.go:1860-1890",store/strategy.go:1881,yes (settings.ts grid block),,done
grid_config.total_investment,,,"GridStrategyConfig comment, store/strategy.go:1860-1890",store/strategy.go:1865,yes (settings.ts grid block),,done
grid_config.upper_price,,,"GridStrategyConfig comment, store/strategy.go:1860-1890",store/strategy.go:1869,yes (settings.ts grid block),,done
grid_config.use_atr_bounds,,,"GridStrategyConfig comment, store/strategy.go:1860-1890",store/strategy.go:1873,yes (settings.ts grid block),,done
grid_config.use_maker_only,,,"GridStrategyConfig comment, store/strategy.go:1860-1890",store/strategy.go:1885,yes (settings.ts grid block),,done
language,,,prompt language variant (en/zh); used at prompt build,store/strategy.go:722,,,open
regime.htf_veto,,,regime-level HTF veto (nil-driven ON),store/strategy.go:767,,,open
