name,kind,defined_at,type,code_default,ui_fallback,live_value,origin,readers,controls,label_guide_match,status
ai_config.coin_source.use_hyper_main,strategy,store/strategy.go:1927,bool,false,Studio CoinSourceEditor control,false,O,agent/tools.go:3620; kernel/engine.go:553; kernel/engine.go:615; store/strategy.go:2517; kernel/engine.go:516,strategy field (ai_config.coin_source.use_hyper_main),"n/a (no Studio control, no guide)",LIVE
ai_config.coin_source.use_oi_low,strategy,store/strategy.go:1921,bool,false,Studio CoinSourceEditor control,false,O,agent/skill_execution_handlers.go:938; agent/skill_management_handlers.go:1249; agent/skill_management_handlers.go:1650; agent/tools.go:3617; kernel/engine.go:514; kernel/engine.go:593; store/strategy.go:242; store/strategy.go:249; +5 more; ,strategy field (ai_config.coin_source.use_oi_low),"no (Studio only, no guide)",LIVE
ai_config.coin_source.use_oi_top,strategy,store/strategy.go:1917,bool,false,Studio CoinSourceEditor control,false,O,agent/skill_execution_handlers.go:930; agent/skill_management_handlers.go:1246; agent/skill_management_handlers.go:1647; agent/tools.go:2417; agent/tools.go:2489; agent/tools.go:3615; api/handler_order.go:108; api/handler_trader.go:43; +14 more; ,strategy field (ai_config.coin_source.use_oi_top),"no (Studio only, no guide)",LIVE
ai_config.custom_prompt,strategy,store/strategy.go:735,string,"""""",no control,"""No trade inside sideway zone becareful \nal…",O,agent/central_brain.go:1188; agent/skill_execution_handlers.go:1067; agent/skill_execution_handlers.go:2524; agent/skill_management_handlers.go:1172; agent/skill_management_handlers.go:1709; agent/tools.go:2418; agent/tools.go:2490; api/handler_order.go:104; +23 more; ,strategy field (ai_config.custom_prompt),"no (guide only, no Studio control)",LIVE
ai_config.indicators,strategy,store/strategy.go:734,IndicatorConfig,(object),(children),(object),—,—,(container — see child rows),n/a (container),LIVE
ai_config.indicators.atr_periods,strategy,store/strategy.go:1954,[]int,[14],Studio IndicatorEditor control,[14],O,agent/skill_execution_handlers.go:1001; api/strategy.go:710; kernel/engine_analysis.go:816; kernel/engine_prompt.go:243; kernel/engine_prompt.go:244; store/indicator_fingerprint.go:44; store/strategy.go:111; store/strategy.go:2207; +1 more; ,strategy field (ai_config.indicators.atr_periods),"no (Studio only, no guide)",LIVE
ai_config.indicators.boll_periods,strategy,store/strategy.go:1956,[]int,[20],Studio IndicatorEditor control,[20],O,agent/skill_execution_handlers.go:1003; api/strategy.go:711; kernel/engine_analysis.go:817; kernel/engine_prompt.go:251; kernel/engine_prompt.go:252; store/indicator_fingerprint.go:44; store/strategy.go:112; store/strategy.go:2208; +1 more; ,strategy field (ai_config.indicators.boll_periods),"no (Studio only, no guide)",LIVE
ai_config.indicators.ema_periods,strategy,store/strategy.go:1950,[]int,"[20, 50]",Studio IndicatorEditor control,"[50, 200]",O,agent/skill_execution_handlers.go:997; api/strategy.go:708; kernel/engine_analysis.go:814; kernel/engine_prompt.go:223; kernel/engine_prompt.go:224; store/indicator_fingerprint.go:44; store/strategy.go:109; store/strategy.go:2205; +1 more; ,strategy field (ai_config.indicators.ema_periods),"no (Studio only, no guide)",LIVE
ai_config.indicators.enable_atr,strategy,store/strategy.go:1943,bool,false,Studio IndicatorEditor control,true,O,kernel/engine_prompt.go:241,ATR block on/off (14) — feeds stop/anchor sizing,"no (Studio only, no guide)",LIVE
ai_config.indicators.enable_boll,strategy,store/strategy.go:1944,bool,false,Studio IndicatorEditor control,false,O,kernel/engine_prompt.go:249,Bollinger band block on/off (OFF live),"no (Studio only, no guide)",LIVE
ai_config.indicators.enable_ema,strategy,store/strategy.go:1940,bool,false,Studio IndicatorEditor control,true,O,kernel/engine_prompt.go:221,EMA indicator block on/off (50/200 periods stored),"no (Studio only, no guide)",LIVE
ai_config.indicators.enable_funding_rate,strategy,store/strategy.go:1947,bool,true,Studio IndicatorEditor control,true,O,kernel/engine_prompt.go:265,funding-rate block on/off,"no (Studio only, no guide)",LIVE
ai_config.indicators.enable_macd,strategy,store/strategy.go:1941,bool,false,Studio IndicatorEditor control,false,O,kernel/engine_prompt.go:229,MACD block on/off (OFF live),"no (Studio only, no guide)",LIVE
ai_config.indicators.enable_netflow_ranking,strategy,store/strategy.go:1975,bool,true,Studio IndicatorEditor control,false,O,kernel/engine.go:966,strategy field (ai_config.indicators.enable_netflow_ranking),"no (Studio only, no guide)",LIVE
ai_config.indicators.enable_oi,strategy,store/strategy.go:1946,bool,true,Studio IndicatorEditor control,false,O,kernel/engine_prompt.go:261,open-interest block on/off (OFF live),"no (Studio only, no guide)",LIVE
ai_config.indicators.enable_oi_ranking,strategy,store/strategy.go:1970,bool,true,Studio IndicatorEditor control,false,O,kernel/engine.go:935,strategy field (ai_config.indicators.enable_oi_ranking),"no (Studio only, no guide)",LIVE
ai_config.indicators.enable_price_ranking,strategy,store/strategy.go:1980,bool,true,Studio IndicatorEditor control,false,O,kernel/engine.go:998,rankings block on/off (OFF live),"no (Studio only, no guide)",LIVE
ai_config.indicators.enable_quant_data,strategy,store/strategy.go:1965,bool,true,Studio IndicatorEditor control,false,O,kernel/engine_prompt.go:276,quant analysis block on/off (OFF live),"no (Studio only, no guide)",LIVE
ai_config.indicators.enable_quant_netflow,strategy,store/strategy.go:1967,bool,true,Studio IndicatorEditor control,false,O,kernel/engine_prompt.go:965,strategy field (ai_config.indicators.enable_quant_netflow),"no (Studio only, no guide)",LIVE
ai_config.indicators.enable_quant_oi,strategy,store/strategy.go:1966,bool,true,Studio IndicatorEditor control,false,O,kernel/engine_prompt.go:965,strategy field (ai_config.indicators.enable_quant_oi),"no (Studio only, no guide)",LIVE
ai_config.indicators.enable_raw_klines,strategy,store/strategy.go:1938,bool,true,Studio IndicatorEditor control,true,O,agent/skill_management_handlers.go:1197,raw price bars on/off,"no (Studio only, no guide)",LIVE
ai_config.indicators.enable_rsi,strategy,store/strategy.go:1942,bool,false,Studio IndicatorEditor control,true,O,kernel/engine_prompt.go:233,RSI block on/off (14),"no (Studio only, no guide)",LIVE
ai_config.indicators.enable_svp,strategy,store/strategy.go:1948,bool,false,Studio IndicatorEditor control,true,O,kernel/engine_analysis.go:328,session-volume-profile block on/off,"no (Studio only, no guide)",LIVE
ai_config.indicators.enable_volume,strategy,store/strategy.go:1945,bool,true,Studio IndicatorEditor control,true,O,kernel/engine_prompt.go:257,volume profile block on/off,"no (Studio only, no guide)",LIVE
ai_config.indicators.external_data_sources,strategy,store/strategy.go:1958,[]ExternalDataSource,(object),(children),(object),—,—,(container — see child rows),n/a (container),LIVE
ai_config.indicators.external_data_sources.data_path,strategy,store/strategy.go:2008,string,"""""",Studio IndicatorEditor control,(absent → code default),default,kernel/engine.go:852; kernel/engine.go:853; kernel/engine.go:815,child of external_data_sources — zero engine consumers (FetchExternalData has no production caller),"n/a (no Studio control, no guide)",DEAD
ai_config.indicators.external_data_sources.headers,strategy,store/strategy.go:2007,map[string]string,{},Studio IndicatorEditor control,(absent → code default),default,api/handler_updates.go:62; api/server.go:98; kernel/engine.go:832; kernel/engine.go:795,child of external_data_sources — zero engine consumers (FetchExternalData has no production caller),"no (Studio only, no guide)",DEAD
ai_config.indicators.external_data_sources.method,strategy,store/strategy.go:2006,string,"""""",Studio IndicatorEditor control,(absent → code default),default,agent/tools.go:3017; agent/tools.go:3332; agent/web.go:83; agent/web.go:127; api/credential_guard.go:238; api/handler_plan.go:116; api/handler_plan.go:117; api/handler_plan_order_truth.go:73; +46 more; ,child of external_data_sources — zero engine consumers (FetchExternalData has no production caller),yes,DEAD
ai_config.indicators.external_data_sources.name,strategy,store/strategy.go:2003,string,"""""",Studio IndicatorEditor control,(absent → code default),default,agent/agent.go:796; agent/agent.go:874; agent/atomic_skill_executor.go:6; agent/atomic_skill_executor.go:10; agent/atomic_skill_executor.go:12; agent/atomic_skill_executor.go:65; agent/atomic_skill_executor.go:73; agent/central_brain.go:621; +884 more; ,child of external_data_sources — zero engine consumers (FetchExternalData has no production caller),yes,DEAD
ai_config.indicators.external_data_sources.refresh_secs,strategy,store/strategy.go:2009,int,0,Studio IndicatorEditor control,(absent → code default),default,kernel/engine.go:819; kernel/engine.go:782,child of external_data_sources — zero engine consumers (FetchExternalData has no production caller),"n/a (no Studio control, no guide)",DEAD
ai_config.indicators.external_data_sources.type,strategy,store/strategy.go:2004,string,"""""",Studio IndicatorEditor control,(absent → code default),default,agent/brain.go:52; agent/execution_state.go:71; agent/execution_state.go:376; agent/planner_runtime.go:55; agent/planner_runtime.go:2800; agent/planner_runtime.go:3055; agent/planner_runtime.go:3092; agent/planner_runtime.go:3203; +305 more; ,child of external_data_sources — zero engine consumers (FetchExternalData has no production caller),yes,DEAD
ai_config.indicators.external_data_sources.url,strategy,store/strategy.go:2005,string,"""""",Studio IndicatorEditor control,(absent → code default),default,agent/agent.go:983; agent/brain.go:110; agent/brain.go:124; agent/brain.go:127; agent/brain.go:128; agent/brain.go:165; agent/config_validation.go:61; agent/config_validation.go:294; +98 more; ,child of external_data_sources — zero engine consumers (FetchExternalData has no production caller),"no (Studio only, no guide)",DEAD
ai_config.indicators.klines,strategy,store/strategy.go:1936,KlineConfig,(object),(children),(object),—,—,(container — see child rows),n/a (container),LIVE
ai_config.indicators.klines.enable_multi_timeframe,strategy,store/strategy.go:1996,bool,true,Studio IndicatorEditor control,true,O,kernel/engine_prompt.go:209,strategy field (ai_config.indicators.klines.enable_multi_timeframe),"no (Studio only, no guide)",LIVE
ai_config.indicators.klines.longer_count,strategy,store/strategy.go:1994,int,10,Studio IndicatorEditor control,10,O,store/indicator_fingerprint.go:38; store/indicator_fingerprint.go:46; store/strategy.go:147; store/strategy.go:148; store/strategy.go:2192; store/strategy.go:2532; store/strategy.go:2533,"no consumer found by a FIELD grep on 2026-09-03 (grep -rn "".<Field>\b"" kernel trader api agent provider). A ME","n/a (no Studio control, no guide)",LIVE
ai_config.indicators.klines.longer_timeframe,strategy,store/strategy.go:1992,string,"""4h""",Studio IndicatorEditor control,"""4h""",O,agent/skill_management_handlers.go:1662; api/strategy.go:690; api/strategy.go:691; kernel/engine_analysis.go:798; kernel/engine_analysis.go:799; kernel/engine_prompt.go:210; kernel/engine_prompt.go:792; store/indicator_fingerprint.go:46; +6 more; ,strategy field (ai_config.indicators.klines.longer_timeframe),"n/a (no Studio control, no guide)",LIVE
ai_config.indicators.klines.primary_count,strategy,store/strategy.go:1990,int,20,Studio IndicatorEditor control,20,O,agent/central_brain.go:1166; agent/skill_execution_handlers.go:991; agent/skill_management_handlers.go:1152; api/strategy.go:680; kernel/engine_analysis.go:789; store/indicator_fingerprint.go:36; store/indicator_fingerprint.go:45; store/strategy.go:141; +10 more; ,strategy field (ai_config.indicators.klines.primary_count),"no (Studio only, no guide)",LIVE
ai_config.indicators.klines.primary_timeframe,strategy,store/strategy.go:1988,string,"""5m""",Studio IndicatorEditor control,"""5m""",O,agent/central_brain.go:1165; agent/skill_execution_handlers.go:985; agent/skill_management_handlers.go:1151; agent/skill_management_handlers.go:1662; agent/skill_management_handlers.go:2492; agent/skill_management_handlers.go:2522; api/handler_user.go:422; api/handler_user.go:439; +18 more; ,primary decision timeframe,"no (Studio only, no guide)",LIVE
ai_config.indicators.klines.selected_timeframes,strategy,store/strategy.go:1998,[]string,"[""5m"", ""15m"", ""1h""]",Studio IndicatorEditor control,"[""1h"", ""4h"", ""1d"", ""15m"", ""3m"", ""5m""]",O,agent/central_brain.go:1167; agent/skill_execution_handlers.go:994; agent/skill_management_handlers.go:1153; agent/skill_management_handlers.go:1660; api/handler_user.go:421; api/handler_user.go:438; api/strategy.go:678; kernel/engine_analysis.go:787; +22 more; ,strategy field (ai_config.indicators.klines.selected_timeframes),"no (Studio only, no guide)",LIVE
ai_config.indicators.netflow_ranking_duration,strategy,store/strategy.go:1976,string,"""1h""",Studio IndicatorEditor control,"""1h""",O,agent/skill_execution_handlers.go:1041; agent/skill_management_handlers.go:1157; kernel/engine.go:1007; store/strategy.go:2221; kernel/engine.go:970,strategy field (ai_config.indicators.netflow_ranking_duration),"no (Studio only, no guide)",LIVE
ai_config.indicators.netflow_ranking_limit,strategy,store/strategy.go:1977,int,10,Studio IndicatorEditor control,10,O,agent/skill_execution_handlers.go:1047; agent/skill_management_handlers.go:1157; kernel/engine.go:1012; store/strategy.go:2222; store/strategy.go:2731; kernel/engine.go:975,strategy field (ai_config.indicators.netflow_ranking_limit),"no (Studio only, no guide)",LIVE
ai_config.indicators.nofxos_api_key,strategy,store/strategy.go:1962,string,"""cm_568c67eae410d912c54c""",Studio IndicatorEditor control,"""cm_568c67eae410d912c54c""",O,agent/skill_execution_handlers.go:1021; agent/skill_management_handlers.go:1766; agent/skill_management_handlers.go:1768; agent/skill_management_handlers.go:1823; agent/skill_management_handlers.go:1825; api/strategy.go:30; kernel/engine.go:380; store/indicator_fingerprint.go:12; +2 more; ,strategy field (ai_config.indicators.nofxos_api_key),"no (Studio only, no guide)",LIVE
ai_config.indicators.oi_ranking_duration,strategy,store/strategy.go:1971,string,"""1h""",Studio IndicatorEditor control,"""1h""",O,agent/skill_execution_handlers.go:1031; agent/skill_management_handlers.go:1156; kernel/engine.go:976; store/strategy.go:2217; kernel/engine.go:939,strategy field (ai_config.indicators.oi_ranking_duration),"no (Studio only, no guide)",LIVE
ai_config.indicators.oi_ranking_limit,strategy,store/strategy.go:1972,int,10,Studio IndicatorEditor control,10,O,agent/skill_execution_handlers.go:1037; agent/skill_management_handlers.go:1156; kernel/engine.go:981; store/strategy.go:2218; store/strategy.go:2724; kernel/engine.go:944,strategy field (ai_config.indicators.oi_ranking_limit),"no (Studio only, no guide)",LIVE
ai_config.indicators.price_ranking_duration,strategy,store/strategy.go:1981,string,"""1h,4h,24h""",Studio IndicatorEditor control,"""1h,4h,24h""",O,agent/skill_execution_handlers.go:1051; agent/skill_management_handlers.go:1158; kernel/engine.go:1039; provider/nofxos/price.go:24; provider/nofxos/price.go:25; provider/nofxos/price.go:36; provider/nofxos/price.go:42; provider/nofxos/price.go:72; +3 more; ,strategy field (ai_config.indicators.price_ranking_duration),"no (Studio only, no guide)",LIVE
ai_config.indicators.price_ranking_limit,strategy,store/strategy.go:1982,int,10,Studio IndicatorEditor control,10,O,agent/skill_execution_handlers.go:1057; agent/skill_management_handlers.go:1158; kernel/engine.go:1044; store/strategy.go:2226; store/strategy.go:2738; kernel/engine.go:1007,strategy field (ai_config.indicators.price_ranking_limit),"no (Studio only, no guide)",LIVE
ai_config.indicators.rsi_periods,strategy,store/strategy.go:1952,[]int,"[7, 14]",Studio IndicatorEditor control,[14],O,agent/skill_execution_handlers.go:999; api/strategy.go:709; kernel/engine_analysis.go:815; kernel/engine_prompt.go:235; kernel/engine_prompt.go:236; store/indicator_fingerprint.go:44; store/strategy.go:110; store/strategy.go:2206; +1 more; ,strategy field (ai_config.indicators.rsi_periods),"no (Studio only, no guide)",LIVE
ai_config.prompt_sections,strategy,store/strategy.go:737,PromptSectionsConfig,(object),(children),(object),—,—,(container — see child rows),n/a (container),LIVE
ai_config.prompt_sections.decision_process,strategy,store/strategy.go:1901,string,"""""",Studio PromptSectionsEditor control,(absent → code default),default,agent/skill_execution_handlers.go:1065; agent/skill_management_handlers.go:1171; agent/skill_management_handlers.go:1705; kernel/engine_prompt.go:131; kernel/engine_prompt.go:132; kernel/engine_prompt_futures.go:213; kernel/engine_prompt_futures.go:214; store/strategy.go:2654,strategy field (ai_config.prompt_sections.decision_process),"no (Studio only, no guide)",LIVE
ai_config.prompt_sections.entry_standards,strategy,store/strategy.go:1899,string,"""# 🎯 Entry Standards (Strict)\n\nOnly enter positions when multiple signals resonate. Freely use any effective analysis methods, avoid low-quality behaviors such as single indicators, contradictory signals, sideways oscillation, or immediately restarting after closing positions.""",Studio PromptSectionsEditor control,"""# 🎯 Entry Standards (Strict)\n\nOnly enter …",O,agent/central_brain.go:1186; agent/skill_execution_handlers.go:1063; agent/skill_management_handlers.go:1170; agent/skill_management_handlers.go:1702; kernel/engine_prompt.go:118; kernel/engine_prompt.go:119; kernel/engine_prompt_futures.go:203; kernel/engine_prompt_futures.go:205; +3 more,entry standards prompt text,"no (Studio only, no guide)",LIVE
ai_config.prompt_sections.role_definition,strategy,store/strategy.go:1895,string,"""""",Studio PromptSectionsEditor control,"""# You are a professional day trade CME inde…",O,agent/skill_execution_handlers.go:1059; agent/skill_management_handlers.go:1168; agent/skill_management_handlers.go:1696; kernel/engine.go:428; kernel/engine_prompt.go:51; kernel/engine_prompt.go:52; kernel/engine_prompt_futures.go:99; kernel/engine_prompt_futures.go:100; +1 more,strategy field (ai_config.prompt_sections.role_definition),"no (Studio only, no guide)",LIVE
ai_config.prompt_sections.trading_frequency,strategy,store/strategy.go:1897,string,"""# ⏱️ Trading Frequency Awareness\n\n- Excellent trader: 2-4 trades per day ≈ 0.1-0.2 trades per hour\n- >2 trades per hour = overtrading\n- Single position holding time ≥ 30-60 minutes\nIf you find yourself trading every cycle → standards are too low; if closing positions in <30 minutes → too impulsive.""",Studio PromptSectionsEditor control,"""# ⏱️ Trading Frequency Awareness\n- Focus o…",O,agent/central_brain.go:1185; agent/skill_execution_handlers.go:1061; agent/skill_management_handlers.go:1169; agent/skill_management_handlers.go:1699; kernel/engine_prompt.go:106; kernel/engine_prompt.go:107; kernel/engine_prompt_futures.go:142; kernel/engine_prompt_futures.go:144; +3 more,"how often the bot should trade (live text claims exits SUSPENDED — stale, see P2-1)","no (Studio only, no guide)",LIVE
ai_config.risk_control,strategy,store/strategy.go:736,RiskControlConfig,(object),(children),(object),—,—,(container — see child rows),n/a (container),LIVE
ai_config.risk_control.altcoin_max_leverage,strategy,store/strategy.go:2020,int,5,Studio RiskControlEditor control,5,O,agent/central_brain.go:1180; agent/skill_execution_handlers.go:963; agent/skill_execution_handlers.go:975; agent/skill_management_handlers.go:1160; agent/skill_management_handlers.go:1760; agent/skill_management_handlers.go:1817; agent/skill_management_handlers.go:2494; agent/trade.go:456; +12 more; ,strategy field (ai_config.risk_control.altcoin_max_leverage),"no (Studio only, no guide)",LIVE
ai_config.risk_control.altcoin_max_position_value_ratio,strategy,store/strategy.go:2025,float64,1,Studio RiskControlEditor control,1,O,agent/skill_management_handlers.go:1165; agent/trade.go:457; api/handler_user.go:418; api/handler_user.go:433; kernel/engine_analysis.go:579; kernel/engine_prompt.go:74; store/strategy.go:185; store/strategy.go:186; +5 more; ,strategy field (ai_config.risk_control.altcoin_max_position_value_ratio),"no (Studio only, no guide)",LIVE
ai_config.risk_control.blackout_enabled,strategy,store/strategy.go:2097,*bool,(zero),Studio RiskControlEditor control,false,O,kernel/engine_analysis.go:202; kernel/risk_limits.go:311; kernel/risk_limits.go:327; trader/effective_settings.go:621; kernel/engine_analysis.go:188,strategy field (ai_config.risk_control.blackout_enabled),"no (Studio only, no guide)",LIVE
ai_config.risk_control.blackout_end_ct,strategy,store/strategy.go:2099,string,"""""",Studio RiskControlEditor control,(absent → code default),default,kernel/engine_analysis.go:170; kernel/engine_analysis.go:171; kernel/engine_analysis.go:202; kernel/engine_analysis.go:206; trader/effective_settings.go:652; kernel/engine_analysis.go:167,strategy field (ai_config.risk_control.blackout_end_ct),"no (Studio only, no guide)",LIVE
ai_config.risk_control.blackout_start_ct,strategy,store/strategy.go:2098,string,"""""",Studio RiskControlEditor control,(absent → code default),default,kernel/engine_analysis.go:170; kernel/engine_analysis.go:171; kernel/engine_analysis.go:202; kernel/engine_analysis.go:206; trader/effective_settings.go:651; kernel/engine_analysis.go:167,strategy field (ai_config.risk_control.blackout_start_ct),"no (Studio only, no guide)",LIVE
ai_config.risk_control.breakeven_enabled,strategy,store/strategy.go:2119,*bool,(zero),Studio RiskControlEditor control,false,O,trader/auto_trader.go:221; trader/effective_settings.go:688; trader/exit_mechs_suspend.go:123; trader/auto_trader.go:196,breakeven exit on/off (live false; trigger 40 stored),"no (Studio only, no guide)",LIVE
ai_config.risk_control.breakeven_trigger_points,strategy,store/strategy.go:2120,float64,0,Studio RiskControlEditor control,40,O,store/strategy.go:2115; trader/auto_trader.go:209; trader/auto_trader.go:199,breakeven trigger points (stored 40; fires only when enabled),"no (Studio only, no guide)",LIVE
ai_config.risk_control.btc_eth_max_leverage,strategy,store/strategy.go:2018,int,5,Studio RiskControlEditor control,5,O,agent/central_brain.go:1179; agent/skill_execution_handlers.go:962; agent/skill_execution_handlers.go:969; agent/skill_management_handlers.go:1159; agent/skill_management_handlers.go:1760; agent/skill_management_handlers.go:1817; agent/skill_management_handlers.go:2493; agent/trade.go:459; +13 more; ,strategy field (ai_config.risk_control.btc_eth_max_leverage),"no (Studio only, no guide)",LIVE
ai_config.risk_control.btc_eth_max_position_value_ratio,strategy,store/strategy.go:2023,float64,5,Studio RiskControlEditor control,5,O,agent/skill_management_handlers.go:1164; agent/trade.go:460; api/handler_user.go:417; kernel/engine_analysis.go:578; kernel/engine_prompt.go:70; store/strategy.go:179; store/strategy.go:180; store/strategy.go:182; +4 more; ,strategy field (ai_config.risk_control.btc_eth_max_position_value_ratio),"no (Studio only, no guide)",LIVE
ai_config.risk_control.consecutive_loss_halt,strategy,store/strategy.go:2070,*int,(zero),Studio RiskControlEditor control,(absent → code default),default,store/resolve_source.go:78; store/resolve_source.go:79; store/settings_truth.go:196; store/settings_truth.go:357; trader/session_risk.go:breakerHaltN (:62 @853981d2 — the one resolution both the ARM path and consecutiveLossHaltedAt call),"W1 (f) 2026-09-23: the old cite auto_trader_orders.go:116 was a nil guard inside consecutiveLossHaltedAt, whic","no (Studio only, no guide)",LIVE
ai_config.risk_control.consistency_enabled,strategy,store/strategy.go:2106,*bool,(zero),Studio RiskControlEditor control,(absent → code default),default,kernel/engine_analysis.go:210; kernel/risk_limits.go:312; kernel/risk_limits.go:328; trader/effective_settings.go:622; kernel/engine_analysis.go:196,strategy field (ai_config.risk_control.consistency_enabled),"no (Studio only, no guide)",LIVE
ai_config.risk_control.consistency_max_day_pct,strategy,store/strategy.go:2105,float64,0,Studio RiskControlEditor control,(absent → code default),default,kernel/engine_analysis.go:172; kernel/engine_analysis.go:210; kernel/engine_analysis.go:214; kernel/risk_limits.go:293; kernel/risk_limits.go:352; kernel/risk_limits.go:353; trader/effective_settings.go:650; kernel/engine_analysis.go:169,strategy field (ai_config.risk_control.consistency_max_day_pct),"no (Studio only, no guide)",LIVE
ai_config.risk_control.daily_loss_enabled,strategy,store/strategy.go:2047,*bool,(zero),Studio RiskControlEditor control,false,O,kernel/engine_analysis.go:160; kernel/risk_limits.go:281; kernel/risk_limits.go:305; kernel/risk_limits.go:321; kernel/risk_limits.go:368; trader/desk_facts.go:523; trader/desk_facts.go:531; trader/desk_facts.go:533; +3 more; ,strategy field (ai_config.risk_control.daily_loss_enabled),yes,LIVE
ai_config.risk_control.daily_loss_limit_usd,strategy,store/strategy.go:2046,float64,0,Studio RiskControlEditor control,450,O,api/handler_risk.go:164; api/handler_risk.go:222; kernel/engine_analysis.go:161; kernel/risk_limits.go:282; kernel/risk_limits.go:306; kernel/risk_limits.go:322; kernel/risk_limits.go:338; kernel/risk_limits.go:339; +9 more; ,strategy field (ai_config.risk_control.daily_loss_limit_usd),"no (Studio only, no guide)",LIVE
ai_config.risk_control.daily_profit_enabled,strategy,store/strategy.go:2052,*bool,(zero),Studio RiskControlEditor control,false,O,kernel/engine_analysis.go:163; kernel/risk_limits.go:283; kernel/risk_limits.go:307; kernel/risk_limits.go:323; kernel/risk_limits.go:371; trader/effective_settings.go:619; kernel/engine_analysis.go:160,strategy field (ai_config.risk_control.daily_profit_enabled),"no (Studio only, no guide)",LIVE
